AÑO,MES,PROVINCIA_DESTINO,CONTINENTE_ORIGEN,PAIS_ORIGEN,TURISTAS,PERNOCTACIONES,ESTANCIA_MEDIA
2019,7,Total Nacional,América,Total América,548152,3130715,5.7
2019,7,Total Nacional,Asia,Total Asia,228146,1131360,5.0
2019,7,Total Nacional,Europa,Total Europa,8150815,51652787,6.3
2019,7,Total Nacional,Oceanía,Total Oceanía,25552,143602,5.6
2019,7,Total Nacional,África,Total África,202802,1041511,5.1
2019,8,Total Nacional,América,Total América,479690,3439054,7.2
2019,8,Total Nacional,Asia,Total Asia,231050,1390054,6.0
2019,8,Total Nacional,Europa,Total Europa,9712527,78519998,8.1
2019,8,Total Nacional,Oceanía,Total Oceanía,16209,106455,6.6
2019,8,Total Nacional,África,Total África,319613,1770109,5.5
2019,9,Total Nacional,América,Total América,522922,3236645,6.2
2019,9,Total Nacional,Asia,Total Asia,215700,1120830,5.2
2019,9,Total Nacional,Europa,Total Europa,7352713,51349358,7.0
2019,9,Total Nacional,Oceanía,Total Oceanía,22473,141671,6.3
2019,9,Total Nacional,África,Total África,237013,1316446,5.6
2019,10,Total Nacional,América,Total América,427305,2879171,6.7
2019,10,Total Nacional,Asia,Total Asia,240195,1322291,5.5
2019,10,Total Nacional,Europa,Total Europa,6679501,49090983,7.3
2019,10,Total Nacional,Oceanía,Total Oceanía,17327,129876,7.5
2019,10,Total Nacional,África,Total África,184787,1514419,8.2
2019,11,Total Nacional,América,Total América,308945,2150168,7.0
2019,11,Total Nacional,Asia,Total Asia,189036,1103431,5.8
2019,11,Total Nacional,Europa,Total Europa,4469573,36598836,8.2
2019,11,Total Nacional,Oceanía,Total Oceanía,6852,50648,7.4
2019,11,Total Nacional,África,Total África,172100,1452701,8.4
2019,12,Total Nacional,América,Total América,264431,1979313,7.5
2019,12,Total Nacional,Asia,Total Asia,183701,1066302,5.8
2019,12,Total Nacional,Europa,Total Europa,3788993,33493073,8.8
2019,12,Total Nacional,Oceanía,Total Oceanía,5707,40661,7.1
2019,12,Total Nacional,África,Total África,171327,1546870,9.0
2020,1,Total Nacional,América,Total América,287996,2409618,8.4
2020,1,Total Nacional,Asia,Total Asia,180749,1067664,5.9
2020,1,Total Nacional,Europa,Total Europa,4121824,35794697,8.7
