TURISTAS,PERNOCTACIONES,ESTANCIA_MEDIA
58536,528623,9.030733223998906
12533,142257,11.350594430702944
569861,4783076,8.393408217091537
79268,747703,9.432595751122774
26263,228861,8.71419868255721
32764,351939,10.741637162739591
37203,394812,10.612369970163696
1045802,6078913,5.812680603020457
57052,382636,6.706793802145411
32324,250275,7.742698923400569
31480,289005,9.18059085133418
54515,498723,9.14836283591672
27460,216013,7.86646030589949
12000,129038,10.753166666666667
8634,85627,9.917419504285384
20385,181765,8.916605347068923
186080,1370356,7.364337919174549
26413,227360,8.607882482111082
127163,921312,7.245126333917885
327535,2141202,6.537322728868671
96993,744288,7.673625931768272
17474,142567,8.158807370951127
48365,387135,8.004445363382612
26325,177713,6.7507312440645775
1246860,8187831,6.5667605023819835
13185,138965,10.539628365566932
14469,137454,9.49989633008501
579708,4345530,7.496066985447846
15481,174081,11.244816226341968
40215,372242,9.256297401467114
12439,126652,10.18184741538709
665294,4447444,6.684930271428872
26382,242290,9.183913274202107
106652,1047444,9.82113790646214
578670,4325029,7.474085402733855
63302,519855,8.212299769359579
26342,276841,10.509490547414774
11259,92917,8.25268673949729
63902,548160,8.578135269631623
43379,378344,8.721823924018535
398040,3024829,7.5993091146618434
11179,97541,8.725377940781824
139531,921789,6.606338376418144
7438,59976,8.063457918795375
173931,1240998,7.135001811063008
8674,74205,8.554876642840673
26475,226818,8.567252124645892
203209,1524293,7.501109694944613
21651,200945,9.28109556140594
18571,177123,9.537612406440148
49470,441329,8.921144127754195
6384,61150,9.578634085213032
34023,353923,10.402463039708433
11960,151528,12.669565217391304
331585,3190820,9.622932279807591
52036,568975,10.934257052809594
23171,234112,10.103664062837167
25625,281946,11.002770731707317
37021,443097,11.968801491045623
785421,4824253,6.142251098455478
41448,317339,7.656316348195329
26799,213860,7.980148513004217
20462,215877,10.550141726126478
40227,403493,10.03040246600542
27270,236109,8.658195819581959
11388,130173,11.430716543730242
7956,86836,10.914529914529915
19258,189273,9.828279156714093
132986,1081167,8.129930970177313
19673,199302,10.13073755909114
103125,899263,8.720126060606061
198862,1425100,7.1662761110719995
69022,577922,8.373011503578569
16333,146179,8.949917345251944
